episode:1; total step:220; total_reword:-100.722 loss:0.09155; actual_eps:0.99; ave_Q:1.7834537029266357
episode:2; total step:220; total_reword:-64.745 loss:0.08237; actual_eps:0.99; ave_Q:-2.3330063819885254
episode:3; total step:220; total_reword:-118.775 loss:0.07855; actual_eps:0.99; ave_Q:-3.7252166271209717
episode:4; total step:220; total_reword:16.346 loss:0.07210; actual_eps:0.99; ave_Q:-3.7153773307800293
episode:5; total step:220; total_reword:54.503 loss:0.06284; actual_eps:0.99; ave_Q:-4.493943691253662
episode:6; total step:220; total_reword:-14.596 loss:0.05653; actual_eps:0.99; ave_Q:-5.914291858673096
episode:7; total step:220; total_reword:-103.960 loss:0.05538; actual_eps:0.99; ave_Q:-6.688621997833252
episode:8; total step:220; total_reword:15.779 loss:0.05343; actual_eps:0.99; ave_Q:-4.206709861755371
episode:9; total step:220; total_reword:78.851 loss:0.05201; actual_eps:0.99; ave_Q:-3.0316884517669678
episode:10; total step:220; total_reword:-61.895 loss:0.05252; actual_eps:0.99; ave_Q:1.5636674165725708
episode:11; total step:220; total_reword:-18.862 loss:0.05938; actual_eps:0.99; ave_Q:1.4699578285217285
episode:12; total step:220; total_reword:-23.314 loss:0.05531; actual_eps:0.98; ave_Q:-2.142045497894287
episode:13; total step:220; total_reword:-99.828 loss:0.05901; actual_eps:0.98; ave_Q:4.106889247894287
episode:14; total step:220; total_reword:41.015 loss:0.06493; actual_eps:0.98; ave_Q:-8.727336883544922
episode:15; total step:220; total_reword:-20.367 loss:0.06374; actual_eps:0.98; ave_Q:-9.297170639038086
episode:16; total step:220; total_reword:67.276 loss:0.06433; actual_eps:0.98; ave_Q:-11.112959861755371
episode:17; total step:220; total_reword:-20.473 loss:0.06851; actual_eps:0.98; ave_Q:7.198284149169922
episode:18; total step:220; total_reword:0.939 loss:0.06848; actual_eps:0.98; ave_Q:-13.963576316833496
episode:19; total step:220; total_reword:-47.018 loss:0.06621; actual_eps:0.98; ave_Q:-16.571165084838867
episode:20; total step:220; total_reword:-121.255 loss:0.06774; actual_eps:0.98; ave_Q:6.725653648376465
episode:21; total step:220; total_reword:-12.361 loss:0.06913; actual_eps:0.98; ave_Q:-5.73836612701416
episode:22; total step:220; total_reword:-6.946 loss:0.06968; actual_eps:0.98; ave_Q:10.404288291931152
episode:23; total step:220; total_reword:-7.740 loss:0.06664; actual_eps:0.98; ave_Q:9.878043174743652
episode:24; total step:220; total_reword:-72.566 loss:0.06505; actual_eps:0.98; ave_Q:-5.356949806213379
episode:25; total step:220; total_reword:66.273 loss:0.06418; actual_eps:0.98; ave_Q:-1.2777179479599
episode:26; total step:220; total_reword:3.893 loss:0.06149; actual_eps:0.98; ave_Q:-4.877067565917969
episode:27; total step:220; total_reword:36.226 loss:0.06270; actual_eps:0.98; ave_Q:-9.315369606018066
episode:28; total step:220; total_reword:56.061 loss:0.06248; actual_eps:0.98; ave_Q:2.0820491313934326
episode:29; total step:220; total_reword:37.658 loss:0.05911; actual_eps:0.98; ave_Q:2.3261992931365967
episode:30; total step:220; total_reword:35.470 loss:0.05744; actual_eps:0.98; ave_Q:-3.0203559398651123
episode:31; total step:220; total_reword:38.543 loss:0.05640; actual_eps:0.98; ave_Q:3.1657679080963135
episode:32; total step:220; total_reword:0.909 loss:0.05411; actual_eps:0.98; ave_Q:-2.1042001247406006
episode:33; total step:220; total_reword:19.267 loss:0.05239; actual_eps:0.98; ave_Q:-2.076866388320923
episode:34; total step:220; total_reword:-12.376 loss:0.05025; actual_eps:0.98; ave_Q:-7.950493812561035
episode:35; total step:220; total_reword:72.350 loss:0.05031; actual_eps:0.97; ave_Q:-3.649444341659546
episode:36; total step:220; total_reword:4.775 loss:0.05047; actual_eps:0.97; ave_Q:10.306719779968262
episode:37; total step:220; total_reword:-41.613 loss:0.04941; actual_eps:0.97; ave_Q:0.4309179186820984
episode:38; total step:220; total_reword:-12.152 loss:0.04633; actual_eps:0.97; ave_Q:0.7053963541984558
episode:39; total step:220; total_reword:57.349 loss:0.04633; actual_eps:0.97; ave_Q:0.47349661588668823
episode:40; total step:220; total_reword:50.352 loss:0.04566; actual_eps:0.97; ave_Q:0.6270866990089417
episode:41; total step:220; total_reword:-29.731 loss:0.04511; actual_eps:0.97; ave_Q:6.909404277801514
episode:42; total step:220; total_reword:-66.031 loss:0.04452; actual_eps:0.97; ave_Q:-4.425774097442627
episode:43; total step:220; total_reword:-84.709 loss:0.04315; actual_eps:0.97; ave_Q:-9.843252182006836
episode:44; total step:220; total_reword:-0.173 loss:0.04285; actual_eps:0.97; ave_Q:8.62374210357666
episode:45; total step:220; total_reword:32.607 loss:0.04166; actual_eps:0.97; ave_Q:7.281200408935547
episode:46; total step:220; total_reword:-38.220 loss:0.03974; actual_eps:0.97; ave_Q:-1.4125826358795166
episode:47; total step:220; total_reword:-19.287 loss:0.03926; actual_eps:0.97; ave_Q:-0.9638909101486206
episode:48; total step:220; total_reword:53.456 loss:0.03875; actual_eps:0.97; ave_Q:13.38670539855957
episode:49; total step:220; total_reword:17.330 loss:0.03725; actual_eps:0.97; ave_Q:1.0437448024749756
episode:50; total step:220; total_reword:38.066 loss:0.03637; actual_eps:0.97; ave_Q:6.741908550262451
episode:51; total step:220; total_reword:115.343 loss:0.03651; actual_eps:0.97; ave_Q:10.486016273498535
episode:52; total step:220; total_reword:4.178 loss:0.03460; actual_eps:0.97; ave_Q:2.5242819786071777
episode:53; total step:220; total_reword:-29.222 loss:0.03365; actual_eps:0.97; ave_Q:15.012714385986328
