episode:1; total step:290; total_reword:-23.474 loss:0.17917; actual_eps:0.99; ave_Q:1.0072078704833984
episode:2; total step:290; total_reword:-45.926 loss:0.17118; actual_eps:0.99; ave_Q:2.890214681625366
episode:3; total step:290; total_reword:86.949 loss:0.14179; actual_eps:0.99; ave_Q:3.635432720184326
episode:4; total step:290; total_reword:-98.432 loss:0.12162; actual_eps:0.99; ave_Q:3.8936355113983154
episode:5; total step:290; total_reword:105.118 loss:0.10838; actual_eps:0.99; ave_Q:7.881190299987793
episode:6; total step:290; total_reword:9.970 loss:0.09657; actual_eps:0.99; ave_Q:8.364336967468262
episode:7; total step:290; total_reword:-15.334 loss:0.09653; actual_eps:0.99; ave_Q:2.7278268337249756
episode:8; total step:290; total_reword:28.791 loss:0.09190; actual_eps:0.99; ave_Q:8.456209182739258
episode:9; total step:290; total_reword:100.986 loss:0.08711; actual_eps:0.98; ave_Q:10.656076431274414
episode:10; total step:290; total_reword:-72.359 loss:0.08539; actual_eps:0.98; ave_Q:-2.2947397232055664
episode:11; total step:290; total_reword:43.820 loss:0.08413; actual_eps:0.98; ave_Q:7.115495204925537
episode:12; total step:290; total_reword:-69.082 loss:0.08549; actual_eps:0.98; ave_Q:0.907917320728302
episode:13; total step:290; total_reword:15.396 loss:0.08954; actual_eps:0.98; ave_Q:7.368907451629639
episode:14; total step:290; total_reword:26.346 loss:0.07942; actual_eps:0.98; ave_Q:16.471477508544922
episode:15; total step:290; total_reword:61.630 loss:0.08358; actual_eps:0.98; ave_Q:24.10639190673828
episode:16; total step:290; total_reword:-35.053 loss:0.07711; actual_eps:0.98; ave_Q:0.5784901976585388
episode:17; total step:290; total_reword:26.045 loss:0.08508; actual_eps:0.98; ave_Q:3.638551950454712
episode:18; total step:290; total_reword:-68.304 loss:0.07738; actual_eps:0.98; ave_Q:-13.36911392211914
episode:19; total step:290; total_reword:133.686 loss:0.08320; actual_eps:0.98; ave_Q:36.18402862548828
episode:20; total step:290; total_reword:34.449 loss:0.07306; actual_eps:0.98; ave_Q:12.947173118591309
episode:21; total step:290; total_reword:26.581 loss:0.07238; actual_eps:0.98; ave_Q:5.489916801452637
episode:22; total step:290; total_reword:-75.048 loss:0.07580; actual_eps:0.98; ave_Q:-8.061080932617188
episode:23; total step:290; total_reword:-20.877 loss:0.07455; actual_eps:0.98; ave_Q:12.154520988464355
episode:24; total step:290; total_reword:13.854 loss:0.07629; actual_eps:0.98; ave_Q:12.549226760864258
episode:25; total step:290; total_reword:96.379 loss:0.07066; actual_eps:0.98; ave_Q:22.616287231445312
episode:26; total step:290; total_reword:-12.780 loss:0.06820; actual_eps:0.98; ave_Q:-1.792891263961792
episode:27; total step:290; total_reword:91.134 loss:0.06915; actual_eps:0.97; ave_Q:20.60015106201172
episode:28; total step:290; total_reword:124.399 loss:0.06949; actual_eps:0.97; ave_Q:31.777868270874023
episode:29; total step:290; total_reword:36.256 loss:0.06883; actual_eps:0.97; ave_Q:11.444901466369629
episode:30; total step:290; total_reword:87.264 loss:0.06895; actual_eps:0.97; ave_Q:22.807327270507812
episode:31; total step:290; total_reword:49.845 loss:0.06673; actual_eps:0.97; ave_Q:23.319000244140625
episode:32; total step:290; total_reword:5.776 loss:0.06361; actual_eps:0.97; ave_Q:4.661116123199463
episode:33; total step:290; total_reword:29.330 loss:0.06661; actual_eps:0.97; ave_Q:19.119853973388672
episode:34; total step:290; total_reword:34.587 loss:0.06620; actual_eps:0.97; ave_Q:12.142707824707031
episode:35; total step:290; total_reword:50.149 loss:0.06229; actual_eps:0.97; ave_Q:18.953994750976562
episode:36; total step:290; total_reword:32.799 loss:0.06729; actual_eps:0.97; ave_Q:6.762179374694824
episode:37; total step:290; total_reword:-0.689 loss:0.06366; actual_eps:0.97; ave_Q:9.86827564239502
episode:38; total step:290; total_reword:74.768 loss:0.05918; actual_eps:0.97; ave_Q:27.4852294921875
episode:39; total step:290; total_reword:118.577 loss:0.06195; actual_eps:0.97; ave_Q:39.91682434082031
episode:40; total step:290; total_reword:100.438 loss:0.06059; actual_eps:0.97; ave_Q:27.875520706176758
episode:41; total step:290; total_reword:-33.045 loss:0.06026; actual_eps:0.97; ave_Q:19.061019897460938
episode:42; total step:290; total_reword:143.406 loss:0.06220; actual_eps:0.97; ave_Q:42.950443267822266
episode:43; total step:290; total_reword:36.130 loss:0.06243; actual_eps:0.97; ave_Q:65.72875213623047
