episode:1; total step:220; total_reword:88.094 loss:0.19179; actual_eps:0.99; ave_Q:3.0426385402679443
episode:2; total step:220; total_reword:64.486 loss:0.02570; actual_eps:0.99; ave_Q:9.551502227783203
episode:3; total step:220; total_reword:63.517 loss:0.02172; actual_eps:0.99; ave_Q:10.551567077636719
episode:4; total step:220; total_reword:87.602 loss:0.02023; actual_eps:0.99; ave_Q:12.910639762878418
episode:5; total step:220; total_reword:104.920 loss:0.02048; actual_eps:0.99; ave_Q:15.616171836853027
episode:6; total step:220; total_reword:55.811 loss:0.01798; actual_eps:0.99; ave_Q:14.729331016540527
episode:7; total step:220; total_reword:97.966 loss:0.01618; actual_eps:0.99; ave_Q:17.726709365844727
episode:8; total step:220; total_reword:53.305 loss:0.01525; actual_eps:0.99; ave_Q:18.394105911254883
episode:9; total step:220; total_reword:52.089 loss:0.01576; actual_eps:0.99; ave_Q:20.462919235229492
episode:10; total step:220; total_reword:116.571 loss:0.01544; actual_eps:0.99; ave_Q:20.6843318939209
episode:11; total step:220; total_reword:51.723 loss:0.01678; actual_eps:0.99; ave_Q:20.007654190063477
episode:12; total step:220; total_reword:98.653 loss:0.01448; actual_eps:0.98; ave_Q:20.779415130615234
episode:13; total step:220; total_reword:54.773 loss:0.01417; actual_eps:0.98; ave_Q:20.411357879638672
episode:14; total step:220; total_reword:-28.583 loss:0.01622; actual_eps:0.98; ave_Q:18.867300033569336
episode:15; total step:220; total_reword:64.601 loss:0.01823; actual_eps:0.98; ave_Q:20.774417877197266
episode:16; total step:220; total_reword:116.115 loss:0.01723; actual_eps:0.98; ave_Q:24.222856521606445
episode:17; total step:220; total_reword:115.137 loss:0.01743; actual_eps:0.98; ave_Q:23.983613967895508
episode:18; total step:220; total_reword:70.250 loss:0.01739; actual_eps:0.98; ave_Q:32.75354766845703
episode:19; total step:220; total_reword:10.536 loss:0.01909; actual_eps:0.98; ave_Q:33.66141128540039
episode:20; total step:220; total_reword:34.092 loss:0.02198; actual_eps:0.98; ave_Q:20.585229873657227
episode:21; total step:220; total_reword:118.962 loss:0.02150; actual_eps:0.98; ave_Q:28.406597137451172
episode:22; total step:220; total_reword:92.057 loss:0.02010; actual_eps:0.98; ave_Q:28.905662536621094
episode:23; total step:220; total_reword:74.507 loss:0.01870; actual_eps:0.98; ave_Q:19.98292350769043
episode:24; total step:220; total_reword:97.990 loss:0.01902; actual_eps:0.98; ave_Q:29.84651756286621
episode:25; total step:220; total_reword:129.285 loss:0.01877; actual_eps:0.98; ave_Q:32.30067443847656
episode:26; total step:220; total_reword:93.717 loss:0.01799; actual_eps:0.98; ave_Q:20.996124267578125
episode:27; total step:220; total_reword:117.477 loss:0.01765; actual_eps:0.98; ave_Q:33.58659744262695
episode:28; total step:220; total_reword:128.586 loss:0.01702; actual_eps:0.98; ave_Q:36.54796600341797
episode:29; total step:220; total_reword:110.468 loss:0.01625; actual_eps:0.98; ave_Q:22.393747329711914
episode:30; total step:220; total_reword:51.928 loss:0.01683; actual_eps:0.98; ave_Q:18.545602798461914
episode:31; total step:220; total_reword:62.016 loss:0.01567; actual_eps:0.98; ave_Q:20.2335205078125
episode:32; total step:220; total_reword:63.600 loss:0.01488; actual_eps:0.98; ave_Q:21.267770767211914
episode:33; total step:220; total_reword:124.234 loss:0.01542; actual_eps:0.98; ave_Q:27.032176971435547
episode:34; total step:220; total_reword:80.314 loss:0.01484; actual_eps:0.98; ave_Q:30.161394119262695
episode:35; total step:220; total_reword:44.343 loss:0.01355; actual_eps:0.97; ave_Q:20.625734329223633
episode:36; total step:220; total_reword:77.093 loss:0.01354; actual_eps:0.97; ave_Q:30.694107055664062
episode:37; total step:220; total_reword:135.623 loss:0.01402; actual_eps:0.97; ave_Q:35.68784713745117
episode:38; total step:220; total_reword:110.250 loss:0.01386; actual_eps:0.97; ave_Q:33.707603454589844
episode:39; total step:220; total_reword:103.825 loss:0.01308; actual_eps:0.97; ave_Q:29.716703414916992
episode:40; total step:220; total_reword:80.387 loss:0.01323; actual_eps:0.97; ave_Q:41.04669189453125
episode:41; total step:220; total_reword:88.112 loss:0.01338; actual_eps:0.97; ave_Q:26.053592681884766
episode:42; total step:220; total_reword:97.446 loss:0.01290; actual_eps:0.97; ave_Q:36.466636657714844
episode:43; total step:220; total_reword:50.743 loss:0.01251; actual_eps:0.97; ave_Q:20.172245025634766
episode:44; total step:220; total_reword:123.278 loss:0.01245; actual_eps:0.97; ave_Q:41.962860107421875
episode:45; total step:220; total_reword:104.123 loss:0.01220; actual_eps:0.97; ave_Q:27.567739486694336
episode:46; total step:220; total_reword:75.942 loss:0.01176; actual_eps:0.97; ave_Q:27.63924217224121
episode:47; total step:220; total_reword:98.131 loss:0.01183; actual_eps:0.97; ave_Q:35.85448455810547
episode:48; total step:220; total_reword:41.619 loss:0.01133; actual_eps:0.97; ave_Q:21.517980575561523
episode:49; total step:220; total_reword:60.935 loss:0.01166; actual_eps:0.97; ave_Q:28.111188888549805
episode:50; total step:220; total_reword:33.507 loss:0.01143; actual_eps:0.97; ave_Q:15.358770370483398
episode:51; total step:220; total_reword:99.718 loss:0.01134; actual_eps:0.97; ave_Q:42.97673416137695
episode:52; total step:220; total_reword:60.974 loss:0.01112; actual_eps:0.97; ave_Q:19.654911041259766
episode:53; total step:220; total_reword:48.458 loss:0.01126; actual_eps:0.97; ave_Q:24.424232482910156
episode:54; total step:220; total_reword:67.372 loss:0.01181; actual_eps:0.97; ave_Q:31.501859664916992
episode:55; total step:220; total_reword:96.680 loss:0.01114; actual_eps:0.97; ave_Q:31.041872024536133
